state;year;population;expenditures;electricity_cap;logexpenditures;logelectricity_cap;logpopulation
Andhra Pradesh;1960;35378356;16.8012329346225;277602;2.821452272682;12.5339437121998;17.3816107786858
Andhra Pradesh;1961;35896376;17.0435032216065;270638;2.83576908839328;12.5085374135367;17.3961469012878
Andhra Pradesh;1962;36553750;17.9516465478918;259470;2.88768184041494;12.4663963679687;17.4142943380763
Andhra Pradesh;1963;37250840;19.8572703326959;296851;2.98857020368694;12.6009856083979;17.4331850528712
Andhra Pradesh;1964;37962090;22.943942232896;324210;3.13305394667067;12.6891467329653;17.4520985881461
Andhra Pradesh;1965;38687820;25.2896131133778;352628;3.23039376255686;12.7731689558895;17.4710353797804
Andhra Pradesh;1966;39428340;26.4454450783371;472628;3.27508393471615;13.0660638887002;17.4899954050437
Andhra Pradesh;1967;40183976;22.9046523420181;640835;3.13134004896628;13.3705272924707;17.5089788671592
Andhra Pradesh;1968;40955064;29.7252618137772;673900;3.39199725040272;13.4208370109343;17.5279860236214
Andhra Pradesh;1969;41741944;45.8699288178816;673900;3.82580975678493;13.4208370109343;17.5470170325585
Andhra Pradesh;1970;42544970;35.9760507528857;608100;3.58285346021029;13.3180946211082;17.5660721921298
Andhra Pradesh;1971;43364490;39.7560307984713;608100;3.68276154779283;13.3180946211082;17.5851514613951
Andhra Pradesh;1972;44246744;55.3826062319975;719000;4.01426557752385;13.4856166367032;17.60529234479
Andhra Pradesh;1973;45160150;63.3478852483882;670000;4.14864152417978;13.4150329913671;17.6257256187637
Andhra Pradesh;1974;46096644;65.4472807174423;890000;4.18124494401291;13.6989767417083;17.6462507070523
Andhra Pradesh;1975;47056924;73.0221975410037;890000;4.29076347083084;13.6989767417083;17.6668685757613
Andhra Pradesh;1976;48041730;89.8073404100976;1200000;4.49766671372803;13.9978321147582;17.6875805661846
Andhra Pradesh;1977;49051850;110.211949192538;1520000;4.70240532271472;14.2342208928225;17.7083884598801
Andhra Pradesh;1978;50088050;120.330098696196;1520000;4.79023878866245;14.2342208928225;17.7292930146499
Andhra Pradesh;1979;51151176;145.701439982533;1930000;4.98155959635433;14.4730305608811;17.7502960413
Andhra Pradesh;1980;52242056;164.178071399028;2240000;5.100951639982;14.6219864238312;17.7713983989727
