state;year;manufacturing_output;manufacturing_output1;logmanufacturing_output1
Andhra Pradesh;1960;318600000;9.00550607834915;2.1978361767544
Andhra Pradesh;1961;365700000;10.1876579407347;2.32117698183181
Andhra Pradesh;1962;369700000;10.1138734056013;2.31390808583053
Andhra Pradesh;1963;467400000;12.5473680593511;2.52951092719787
Andhra Pradesh;1964;550100000;14.4907722414651;2.67351204969958
Andhra Pradesh;1965;592500000;15.3148975569055;2.72882605119319
Andhra Pradesh;1966;653100000;16.5642276595971;2.80724540982922
Andhra Pradesh;1967;578100000;14.3863315068673;2.6662785548935
Andhra Pradesh;1968;710200000;17.3409569082837;2.85307115485189
Andhra Pradesh;1969;921900000;22.0856987398574;3.09493028321032
Andhra Pradesh;1970;1038200000;24.402414668526;3.1946820892276
Andhra Pradesh;1971;1135100000;26.175794988019;3.26483512833049
Andhra Pradesh;1972;1327200000;29.9954274601539;3.40104495205048
Andhra Pradesh;1973;1705300000;37.7611677552001;3.63128126651945
Andhra Pradesh;1974;2522100000;54.7133105828702;4.00210701772132
Andhra Pradesh;1975;2801500000;59.5342781011355;4.08655224920832
Andhra Pradesh;1976;3024400000;62.9536030446864;4.14239799546378
Andhra Pradesh;1977;3322800000;67.7405643212234;4.2156851780491
Andhra Pradesh;1978;3858900000;77.0423284595827;4.34435499106718
Andhra Pradesh;1979;4521600000;88.39679463088;4.48183570915452
Andhra Pradesh;1980;4286100000;82.0430957005214;4.4072446665308
Andhra Pradesh;1981;5696200000;106.747194002278;4.67046336607031
Andhra Pradesh;1982;6687000000;122.668428503513;4.80948501219805
Andhra Pradesh;1983;7230600000;129.829359124965;4.8662209660969
Andhra Pradesh;1984;8495500000;149.298662700131;5.00594874737262
Andhra Pradesh;1985;9947800000;171.093481317379;5.1422100815013
Andhra Pradesh;1986;10626700000;178.860733859025;5.18660747988974
Andhra Pradesh;1987;12434500000;204.797962762198;5.32202394566567
Andhra Pradesh;1988;16338100000;263.299288461315;5.5732913641109
Andhra Pradesh;1989;22151300000;349.275496915755;5.85586100024187
Andhra Pradesh;1990;29251000000;451.232184265509;6.11198202801564
Andhra Pradesh;1991;34685400000;523.438675214552;6.26041987963698
Andhra Pradesh;1992;34957300000;519.955116197228;6.25374249284479
Assam;1960;310000000;29.6494696235923;3.38944423737792
Assam;1961;NA;NA;NA
Assam;1962;NA;NA;NA
Assam;1963;NA;NA;NA
Assam;1964;NA;NA;NA
Assam;1965;390000000;32.09367798981;3.46865906338135
Assam;1966;NA;NA;NA
Assam;1967;NA;NA;NA
Assam;1968;481000000;36.1771588700753;3.58842794924619
Assam;1969;512000000;37.3685586494419;3.6208296730303
Assam;1970;422000000;29.8868315999561;3.39741796866841
Assam;1971;424000000;29.1372107676562;3.37201607784864
Assam;1972;482000000;32.3870469819808;3.47775855835639
Assam;1973;597000000;39.2828672413458;3.67078847576488
Assam;1974;1094000000;70.492851999033;4.25551131459326
Assam;1975;1168000000;73.6993794739404;4.29999437953896
Assam;1976;1370000000;84.6504040264922;4.43852988147375
Assam;1977;1613000000;97.5943152551713;4.58081924638636
Assam;1978;1375000000;81.4645561639164;4.40016803195885
Assam;1979;1339000000;77.681298520354;4.3526145401198
Assam;1980;955400000;54.2731499354562;3.99402962831938
Assam;1981;1357500000;75.5087957873935;4.3242491499646
Assam;1982;1372100000;74.6947754050426;4.31341014866256
Assam;1983;2316100000;123.38458935482;4.81530622000023
Assam;1984;3726300000;194.255767852706;5.26917568174235
Assam;1985;4928200000;251.402860815802;5.5270566756292
Assam;1986;5642100000;281.644708053628;5.64064637607714
Assam;1987;5987200000;292.453420032512;5.67830540623855
Assam;1988;4336400000;207.26567421568;5.33400142066435
Assam;1989;8065900000;377.23246188717;5.9328616072026
Assam;1990;10508300000;480.883284337235;6.17562458855543
Assam;1991;7905300000;353.972450033121;5.86921908534008
Assam;1992;7193200000;316.365451267177;5.75689803671776
Bihar;1960;690000000;15.1745321911646;2.71961850887003
Bihar;1961;710000000;15.3326153926156;2.72998228450407
Bihar;1962;900000000;19.0691823579552;2.94807354286488
Bihar;1963;910000000;18.9139289447337;2.93989863183115
Bihar;1964;1060000000;21.6114914416455;3.07322518440963
Bihar;1965;1220000000;24.3985995203875;3.19452573394647
Bihar;1966;1430000000;28.0514042964551;3.33403869476029
Bihar;1967;1270000000;24.4356001681631;3.19604109224422
Bihar;1968;1290000000;24.3442664251615;3.19229635671657
Bihar;1969;1490000000;27.5783182593454;3.31702989368748
