state;year;manufacturing_output;manufacturing_output1;logmanufacturing_output1
Gujarat;1969;2249800000;89,12910195;4,490085902
Gujarat;1970;2647600000;102,2111993;4,627041254
Gujarat;1971;2600800000;97,83889206;4,583322167
Gujarat;1972;3424200000;125,6953587;4,833861191
Gujarat;1973;4336600000;155,3705634;5,045812995
Gujarat;1974;5584600000;195,2774236;5,274421233
Gujarat;1975;5323700000;181,6750648;5,202219733
Gujarat;1976;6374700000;212,2972058;5,357987207
Gujarat;1977;7691000000;249,9488468;5,521256284
Gujarat;1978;8178800000;259,3716678;5,558262044
Gujarat;1979;9452000000;292,4839063;5,678409644
Gujarat;1980;9895900000;298,7855344;5,69972604
Gujarat;1981;10887300000;320,7235621;5,770579575
Gujarat;1982;12943100000;373,760986;5,923616518
Gujarat;1983;19497200000;552,4113954;6,31429305
Gujarat;1984;18029300000;501,1662366;6,216937856
Gujarat;1985;22090400000;602,4163412;6,400948803
Gujarat;1986;25154800000;672,9484606;6,511668745
Gujarat;1987;26610300000;698,3222924;6,548680733
Gujarat;1988;33451900000;861,0919983;6,758201349
Gujarat;1989;35742800000;902,4373494;6,805099269
Gujarat;1990;43085300000;1066,926389;6,97253726
Gujarat;1991;36746600000;892,4343466;6,79395295
Gujarat;1992;67464500000;1605,994163;7,38149826
Haryana;1966;33800000;3,890632255;1,358571678
Haryana;1967;386700000;43,28592441;3,767827511
Haryana;1968;438900000;47,77564583;3,866516008
Haryana;1969;468400000;49,58220325;3,903631964
Haryana;1970;584500000;60,16733209;4,097129549
Haryana;1971;793800000;79,46100255;4,375266367
Haryana;1972;824200000;80,44318907;4,387551209
Haryana;1973;898200000;85,5128055;4,448666137
Haryana;1974;1161500000;107,8530283;4,680769451
Haryana;1975;1277300000;115,6682219;4,750725937
Haryana;1976;1570400000;138,6729115;4,932118006
Haryana;1977;1812300000;156,0353201;5,050082393
Haryana;1978;2167900000;181,9676207;5,203828763
Haryana;1979;2541500000;207,9490115;5,337292913
Haryana;1980;3048000000;243,0762156;5,493375039
Haryana;1981;4010700000;311,7142926;5,742087039
Haryana;1982;4930000000;373,952686;5,924129281
Haryana;1983;5361200000;396,9899495;5,983910964
Haryana;1984;5940000000;429,3721488;6,062324023
Haryana;1985;6612500000;466,578777;6,145426874
Haryana;1986;7048300000;485,4419417;6,185059696
Haryana;1987;8276700000;556,3977676;6,321483448
Haryana;1988;11796200000;773,97514;6,651539754
Haryana;1989;11948400000;765,1255806;6,640039978
Haryana;1990;14767900000;922,9132835;6,827535279
Haryana;1991;15421400000;940,5159951;6,846428656
Haryana;1992;14999800000;892,8291884;6,794395284
Jammu & Kashmir;1960;10700000;NA;NA
Jammu & Kashmir;1961;12900000;3,628212049;1,288739978
Jammu & Kashmir;1962;15000000;4,122568355;1,416476356
Jammu & Kashmir;1963;13700000;3,669121563;1,299952277
Jammu & Kashmir;1964;25600000;6,680909705;1,899254162
Jammu & Kashmir;1965;25700000;6,535396739;1,877233055
Jammu & Kashmir;1966;18400000;4,559201981;1,517147604
Jammu & Kashmir;1967;31200000;7,532630686;2,019244342
Jammu & Kashmir;1968;24100000;5,669162941;1,735041477
Jammu & Kashmir;1969;25900000;5,936086455;1,78105007
Jammu & Kashmir;1970;20900000;4,666957849;1,540507435
Jammu & Kashmir;1971;29500000;6,41778706;1,859073364
Jammu & Kashmir;1972;39200000;8,310246958;2,117489327
Jammu & Kashmir;1973;55800000;11,52739538;2,44472641
Jammu & Kashmir;1974;70500000;14,19185536;2,652668234
Jammu & Kashmir;1975;73000000;14,31890276;2,661580535
Jammu & Kashmir;1976;88500000;16,91416615;2,828151504
Jammu & Kashmir;1977;110100000;20,50210607;3,020527616
Jammu & Kashmir;1978;168100000;30,49763117;3,417649014
Jammu & Kashmir;1979;172600000;30,50770045;3,417979126
Jammu & Kashmir;1980;140900000;24,26235719;3,188926062
Jammu & Kashmir;1981;176100000;29,54047947;3,385761508
Jammu & Kashmir;1982;356600000;58,32092964;4,065961028
Jammu & Kashmir;1983;290800000;46,37427854;3,836744964
Jammu & Kashmir;1984;606300000;94,27383993;4,546203738
Jammu & Kashmir;1985;474500000;71,93525857;4,275766528
Jammu & Kashmir;1986;424400000;62,72834451;4,138813411
Jammu & Kashmir;1987;709100000;102,1785016;4,626721299
Jammu & Kashmir;1988;261600000;36,74801684;3,604084261
Jammu & Kashmir;1989;444400000;60,85479627;4,108490637
Jammu & Kashmir;1990;671400000;89,62039276;4,495582892
Jammu & Kashmir;1991;546400000;71,09204221;4,263975407
Jammu & Kashmir;1992;738200000;93,54407149;4,538432678
Karnataka;1960;320700000;13,91013868;2,632617976
Karnataka;1961;449800000;19,13222229;2,951373944
Karnataka;1962;485300000;20,20827053;3,006091953
Karnataka;1963;598600000;24,39337674;3,19431165
Karnataka;1964;692100000;27,60012433;3,317820277
Karnataka;1965;803600000;31,36026434;3,445541625
Karnataka;1966;957100000;36,54981926;3,598676241
Karnataka;1967;1001700000;37,43209757;3,62252856
Karnataka;1968;1033800000;37,80176692;3,632355845
Karnataka;1969;1284300000;45,95168286;3,827590472
Karnataka;1970;1313680000;47,61428678;3,987711652
Karnataka;1971;1413858182;50,91979777;4,108588161
Karnataka;1972;1514036364;54,22530875;4,229464669
Karnataka;1973;1614214545;57,53081974;4,350341178
Karnataka;1974;1714392727;60,83633073;4,471217687
Karnataka;1975;1814570909;64,14184171;4,592094195
Karnataka;1976;1914749091;67,4473527;4,712970704
Karnataka;1977;2014927273;70,75286369;4,833847213
Karnataka;1978;2115105455;74,05837468;4,954723721
Karnataka;1979;2215283636;77,36388566;5,07560023
Karnataka;1980;5061400000;140,1952152;4,943035846
